"","SRR21765427_OE","SRR21765428_OE","SRR21765429_OE","SRR21765430_CTL","SRR21765431_CTL","SRR21765432_CTL","ENSEMBL"
"ENST00000215909.10",-1.02625652539405,-0.936429732453997,-0.728420829527693,0.665171774039696,1.16236571469143,0.863569598644614,"ENST00000215909"
"ENST00000358056.8",-1.04201215551116,-0.850171395775814,-0.807073537308401,0.769819574881958,1.17216131928586,0.757276194427553,"ENST00000358056"
"ENST00000667545.1",0.935007518155257,0.71345683984149,1.07185992997868,-0.926571366939923,-0.88033408632266,-0.913418834712844,"ENST00000667545"
"ENST00000381989.4",-1.09607968854048,-0.867451380940157,-0.736311807934838,0.750931842681405,1.11755792224334,0.831353112490719,"ENST00000381989"
"ENST00000605886.1",-0.926720194797508,-0.92401312509508,-0.850922243129552,0.708349905468396,1.1902083125004,0.803097345053341,"ENST00000605886"
"ENST00000480824.7",-0.939600897745174,-0.927327011479923,-0.816061448990697,0.566664739842163,1.18212723499217,0.934197383381457,"ENST00000480824"
"ENST00000263735.9",-1.03925537863308,-0.876676868806801,-0.751467263646827,0.605139285835376,1.247960350093,0.81429987515833,"ENST00000263735"
"ENST00000296121.6",-0.988175233191084,-0.856739087804128,-0.85871867323357,0.670232869234067,1.15000413409737,0.883395990897342,"ENST00000296121"
"ENST00000285407.11",-1.00813553767741,-0.873687377350602,-0.800627314960706,0.724537520997071,1.24131422032115,0.716598488670497,"ENST00000285407"
"ENST00000361227.2",0.683839667247729,0.887840465737778,1.13340882504868,-1.01723282172885,-0.856078585931073,-0.831777550374264,"ENST00000361227"
"ENST00000376755.1",-1.05017791214757,-0.870779798892871,-0.767264501123457,0.625057821362844,1.15638834150648,0.906776049294571,"ENST00000376755"
"ENST00000245479.3",-0.866250078889009,-0.96682486666425,-0.861136106629251,0.679874200977828,1.21002265857274,0.80431419263194,"ENST00000245479"
"ENST00000438166.7",-0.929088499411353,-0.838243765457221,-0.934228138808606,0.678343524565408,1.17669406477907,0.846522814332707,"ENST00000438166"
"ENST00000232496.5",-0.929578321217835,-0.924972588986955,-0.861056514308529,0.695763041773116,1.09629249289351,0.923551889846695,"ENST00000232496"
"ENST00000416970.5",0.862493157293853,0.727287144524748,1.12595497362425,-0.922719187238539,-0.880378635817634,-0.912637452386682,"ENST00000416970"
"ENST00000243501.10",-0.964818427546524,-0.945702224056928,-0.81656113463535,0.840145616951116,1.048090996853,0.838845172434687,"ENST00000243501"
"ENST00000295802.9",-0.94127623920403,-0.855171819408444,-0.930177622241158,0.798047320006745,1.06642394421124,0.862154416635648,"ENST00000295802"
"ENST00000394886.7",-0.937920268676075,-0.917902767484892,-0.852242128114853,0.697201824488244,1.15302463110109,0.857838708686489,"ENST00000394886"
