"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ENST00000417171.6",-2.03873570511135,2.47770610891476,-10.9461140347027,4.10048740266257e-05,0.0162510041323494,2.32442879491313
"ENST00000367385.9",-0.871537914716058,4.51443613492383,-9.76576506870074,7.75201072193034e-05,0.0210071370848198,2.31984538392341
"ENST00000285605.8",-0.666053740484358,5.54168395464506,-9.70401553517418,8.02977090246705e-05,0.0210536371607371,2.30838808461055
"ENST00000652385.1",-0.67064249827347,5.46888628940874,-9.69779051716761,8.05840847143832e-05,0.0210536371607371,2.30647485937274
"ENST00000379143.10",-1.44057793216338,5.26729607266658,-9.68892259931518,8.09940963283022e-05,0.0210536371607371,2.30375474498657
"ENST00000392066.7",0.607148020095698,7.08791474857535,9.84298023521064,7.42024594644277e-05,0.0207735137930181,2.26912436602051
"ENST00000309083.8",-0.769590681168077,6.57226634505056,-9.71980139326564,7.9576782262646e-05,0.0210536371607371,2.25390763820197
"ENST00000446198.5",0.736340671289666,6.21710224611087,9.65319542933906,8.26706980854566e-05,0.0212273512661493,2.24413113118078
"ENST00000368845.6",0.63987054235854,5.49741289279497,9.55830833991776,8.73229682664197e-05,0.0220086072830739,2.22534961682762
"ENST00000555848.1",0.830371189133869,6.61539621754407,9.67571593709605,8.16092130124383e-05,0.0210536371607371,2.22314802981328
"ENST00000684689.1",-1.62596482552145,3.44683593834955,-9.87794098885874,7.27547842134362e-05,0.0207735137930181,2.21361520229362
"ENST00000304056.9",-0.999808569858464,5.44114623673058,-9.52352837569505,8.91038911999831e-05,0.0223544496216031,2.20737580207375
"ENST00000227451.4",-1.50458514033527,2.34371028710135,-10.6160486638971,4.86773349778744e-05,0.0172874078221423,2.19719782176914
"ENST00000352966.9",1.43329748391944,3.43422857731736,9.81979046462219,7.51811880276779e-05,0.0207735137930181,2.19081701121067
"ENST00000380502.8",-0.855260151192204,4.11398126324799,-9.57980008123126,8.62431476471788e-05,0.021837084403331,2.18683529582084
"ENST00000320031.13",-0.649026342487657,6.46979081724853,-9.59382000344489,8.554709675403e-05,0.0217615898403321,2.18648335588349
"ENST00000444046.5",1.09849510142926,7.69682299897719,9.83593636607116,7.44981729809133e-05,0.0207735137930181,2.18394744624921
"ENST00000449759.2",0.63131716870366,6.05319157329245,9.45471659309356,9.27532538323864e-05,0.0230584589027313,2.13608729388333
"ENST00000398136.7",-1.64028063409459,4.86502358667778,-9.38702942649287,9.65134120011098e-05,0.0233562457042686,2.12656113910571
"ENST00000578372.2",-1.04399819653932,4.37595700824828,-9.40394276447975,9.55575072020538e-05,0.0233313892138158,2.11534076827781
